Education,Education FOS
Université Bretagne Sud,"Finance / Audit, Comptabilité, Contrôle, Audit (CCA), Génie électrique et informatique industriel"
Université CHOUAIB DOUKKALI d’El Jadida,Ingénierie Commerciale et Marketing; gestion des	entreprises
"Université CadI Ayyad,Marrakech,Maroc",Langue et littérature françaises
Université Caddi Ayyad Marrakech,Finance and Financial Management Services
Université Cadi Ayaad de Marrakech,Économie
Université Cadi Ayyad,"Finance et services de gestion financière, Etudes cinématographiques et audiovisuelles, Physique chimie, Economie de l'entreprise, Sciences et Techniques, Herpetology, Systèmes d''information repartis, Gestion des entreprises, Political Science"
"Université Cadi Ayyad (Marrakech,Maroc)","Métrologie, Qualité, Sécurité et Environnement"
Université Cadi Ayyad - ENS Marrakech,Informatique
Université Cadi Ayyad - FSTG Marrakech,"Systèmes d'Informations répartis, Mathématiques, Informatique, Physique, Chimie, Systèmes informatiques répartis"
Université Cadi Ayyad FSTM,Informatique
Université Cadi Ayyad Marrakech,"Computer's Sciences and Networks, Information Systems Engineering, Network security, Digital Forensics, Intrusion Detection and Prevention Systems, Systems Engineering, licence professionnelle en technologie et coordination dans le batimant et travaux publics, Ingénierie et Conduite de Projets de Bâtiment et des Travaux Publics, droit privé, Droit prive, Systèmes d'information, Comptabilité et finance, Marketing et management de l'action commerciale, industrie et sécurité des aliments, entrepreneuriat est strategies des PME, Finance and Financial Management Services, Économie et gestion des entreprises, Finance et contrôle de gestion, Ingénierie en Réseaux Informatiques et Systèmes d'Information, Économie de gestion, Langue anglaise et littérature / lettres, Gestion logistique, des matériaux et de la chaîne d'approvisionnement, Administration et gestion de l''informatique / technologies de l''information, Technologie et Programmation Web, Management financier de l'entreprise, Génie civil, Actuariat et Finance, Commerce international, Comptabilité et commerce / gestion, Ingénierie électrique et électronique, Licence Professionnelle Électrotechnique électronique industrielle, Droit international pénal & humanitaire, stratégies des PME, Énergétique et Environnement, Etudes cinématographique et Audiovisuel, Ingénierie informatique, Ingénierie des systèmes d'information, Réseaux Informatiques et Systèmes d'Informations, Marketing et Management de l'action commerciale, Management financier des entreprises, Chimie analytique, Management Touristique, Finance Appliquée, étude notariale, Biologie, général, Finance entrepreneuriale, Ingénierie du tourisme, Sciences de gestion, CHIMIE ET GEOLOGIE, Génie Eléctrique, Corporate social responsibility, English Language and Literature/Letters, sciences économiques, Sociologie, Mathématiques appliquées, Finance islamique, management public et développement territorial, Tourisme patrimoine et developpement durable, Matériaux et Procédés pour l'Energie, Économie appliquée, biotechnologie appliquée aux productions végétales, Linguistics, Finance, général, Mathématiques, Ingénierie et gestion d'environnement industriel, Droit constitutionnel, Droit administratif, Finance publique  et collectivités territoriales, ingénierie des systémes d'information, Tourisme, Patrimoine et développement durable, Gestion des entreprises, sc économiques, Études françaises, Droit international des affaires, du commerce et droit fiscal, Entrepreneuriat et stratégies des PME, Droit, Materials Science, Mechanical and Civil Engineering, English Studies, licence professionelle ingénierie de tourisme, Ingénierie logicielle et Système d'information, économie sociale, Biotechnologie Microbienne, Économie, Gestion des ressources humaines/ comptablilité / Marketing/, Administration / gestion des petites entreprises, Gestion d''hôtels, motels et restaurants, marketing et management de l'action commerciale, Gestion, chimie, Comptabilité, vrd et environnement, droit araba, Droit public, Real Estate and Notary Law, élaborations de différents matériaux, Etudes Anglaises, Biotechnologie, Translation Technology and Specialized Translation, Management Général des Organisations, Physiologie animale, assistant social, Food Technology and Safety, gestion des entreprises, Médecine, Environmental Biology and health, TECHNIQUES D'ASSURANCES, Génie électrique, droit privé + techniques des assurances, Astrophysics, droit, Relations internationales, Gestion des territoires et développement agricole, Sciences de la gestion, Langue et littérature françaises, Biologie environnementale, traitement des eaux, Economie et Gestion, Mathematics, Law, Linguistics and Advanced English Studies, géopolitique , management économique, english, Tourisme, Patrimoine & Developpement Durable, Marketing et Management de l'Action Commerciale, Sciences économiques, English studies, Géologie, Tourisme, Patrimoine et Développement Durable, Promción del Patrimonio Territorial a Valor Turístico, Finance et banques, Technologies de l''information, Ingénierie en Réseaux Informatique et Systèmes d’information, siences économiques et gestion, droit immobilier et notarial, Développement des ressources humaines, EDX.ETH, Génie des matériaux, technique d'assurance, Computer Software Engineering, CHIMIE ET BIOLOGIE, Droit privé/immobilier/Fiscalité immobilière/Fiduciaire, elaboration and trasformation of polymers, Tourisme patrimoine et développement durable, Englische Literatur, Gestion Des Entreprises, bachelor, Système d'informatique reparti, Political and Juridical Studies, Private Law, Hydrologie et sciences des ressources hydrologiques, Energétiques et Environnement, Sciences politiques et gouvernement, Droit bancaire, des affaires, de la finance et des valeurs mobilières, Strategie et Management des Ressources Humaines, Génie Civil, Économe et gestion, Reseaux et Sécurité des Systems d'Informatique, Patrimoine Territorial et Tourisme, Économétrie et économie quantitative, sciences mathématiques et applications, Économétrie et économie quantitative / finance, Banking, Corporate, Finance, and Securities Law, Big Data et Pétrole, Neuroscience Moléculaire et cellulaire, Géosciences Appliquées aux Ressources Minérales et Energétiques, Économie et gestion, Tourisme, patrimoine et developpement durable, Finance Islamique, la géomatique et la gestion des ressources naturelles, Réseaux, Sécurité et systèmes Informatiques, Business Law, English Linguistics, Irrigation, Physical Sciences, Mathématiques Appliquées et Modélisation, Tourisme, Business/Managerial Economics, Reseaux, sciences de l eau, Medicine, Ingénierie des systèmes d'Informations, Electronique, Ingénierie biomédicale / médicale, Droit Privé, Economie Internationale ,Gouvernance et Développement, Droit des Affaires, sosiology specialty culture entreprise, Université Cadi Ayyad Marrakech), Ingénierie et conduite des projets de bâtiment et des travaux publics, Gestion des services de tourisme et voyages, Bâtiments/Travaux publics, Finance, histoire et civilisation parcours patrimoine, Management financier de l'entreprise (MFE), econometrics- statistics, Promotion du tourisme, Management and Strategy of Organizations, Econometrics and Quantitative Economics, Finance et services de gestion financière, Télédétection et hydrologie, Art/Art Studies, General, Management et Stratégie des Organisations, Computer Systems Networking and Telecommunications, économie de l'environnement, Ingénierie des systèmes solaires thermodynamiques, Science, Technology and Society, MANAGEMENT A L'INTERNATIONAL, Sciences et Technologies de l'Assainissement des Dechets Liquide et Solide, Géologie / sciences de la Terre, général, Modélisation et calcul scientifique appliqué à l'ingénierie mathématique, économie sociale et solidaire et developpment durable, Security and privacy in the world of internet of thing, Management à l'international, Exploration et Valorisation des Ressources Minérales, Agro-industrie / affaires agricoles, Étude français, Physique, Applied finance, Tourisme , Patrimoine et Développement Durable, Beaux-arts / arts plastiques, général, droit privé (Section française), Neurosciences et Biotechnologies, Management et Stratégies des Organisations, Génie civil : Ingénieurie et Conduite de Projets de Bâtiment et des Travaux Publics, Marketing / gestion du marketing, général, GESTION DES ENTREPRISES, Gestion des ressources humaines  / administration du personnel, Image and video processing, FPGA , hardware design, engineering of materials, Zoologie / biologie animale, Droit des affaires et fiscalité, Sciences physiques, études linguistiques, Basics in Linguistics, Tourism and Travel Services Management, finance et banque, Épidémiologie, Tourisme, Patrimoine et Gestion Territoriale, Licence Professionnelle en Télécommunication et Réseaux, Marketing et Management de la Qualité, Industries Agroalimentaires, Cinema, Audiovisuel et Mediation, Mise en réseau de systèmes informatiques et télécommunications, Anesthésie réanimation, Géographie et cartographie, Chimie des matériaux, Applied Mathematics, Sciences de la Vie, Technique et Coordination dans le Bâtiments et les Travaux Publics, Energétique, Électrotechnique & Electronique Industrielle, Financial management of companies, Islamic Studies, Finance d'entreprise, Electronique, électrotechnique et informatique industrielle, contrôle de gestion, Génie Informatique, Mathématiques et informatique appliqués aux sciences de l'ingénieur (MIASI), Licence appliquée : Management Agro-alimentaire et Agricole, Électrotechnique électronique industrielle, Génie logiciel, Informatique, Finances et Banques, Entrepreneuriat et stratégie des entreprises, sciences économiques, option économie et gestion., Droit privé (en français), Affaires Internationales, Réseaux, Sécurité et Systèmes Informatiques, informatique, Legal Studies, General, Gestion des Entreprises, Sciences de  gestion, Option Gestion des entreprises, Finance Islamique ( Partcipative), Biologie, Ingénierie des Systèmes d'Information, Langues et cultures européennes, études Allemande, Langue anglaise et littérature, général, Recherche en marketing, Sciences économiques et gestion, Études politique, Réseaux ,systèmes , et sécurité informatique, Sc économiques, etudes anglais, Génie des Télécommunications et Réseaux, Mathématique et Informatique Appliqué, Civil Engineering, Mathématiques Informatiques Appliquées au Sciences de l’Ingénieur, Réseau Sécurité et Systèmes Informatiques, Applied Physics, Microbiologie appliquée, Finance et Banques, Astronomie, Tourism, Ingénierie de Tourisme, Biologie moléculaire végétale, English linguistics, FINANCE PARTICIPATIVE (ISLAMIQUE), Génie des procédés, Englais, Gestion des PME, Sciences du tourisme, Réseaux, sécurité des systèmes informatique, biology applied to the management of the environment, Matériaux Fonctionnels, Astronomy and Astrophysics, Théories Economiques et Techniques Quantitatives, biologie médicale, Sciences Economiques, STATISTICS AND probabilities, EngliIsh Studies, BTP, Promoteur du Patrimoine territorial à valeur touristique, physique-chimie des matériaux fonctionnels, Ingénierie du Tourisme, science de la matière physique, SCIENCE ECONOMIE, English Literature, environmental economics, economie, Economie touristique et developpement durable, Hydrogeology, Droit privé, cyano fluorinated polymers : Synthesis and characterization and dielecric properties, Économie et Gestion (Spécialité: Gestion), Energies Renouvelables et Applications, JURIDIQUE, Legal and Political Sciences , Option: private law, Contrôle, Informatique Industrielle, Signaux et Systèmes, Ingénierie De Tourisme, Biologie, Chimie et Géologie, Science d'Économie et Gestion, Gestion d'Entreprise, Mathématiques Informatique appliques aux sciences d'ingenieur, Sciences economiques et sociales, Management Financier de l'Entreprise, Etudes anglaises, economie et gestion, political science and law, Science Economique, Tourisme et développement durable, Entrepreneuriat et Stratégie PME, droit arabe, metallogenie, tourisme / tourism, Réseau et securite, Biologie humaine, Maths& computer science, Linguistics and Political Discourse Analysis, Mécanique des fluides, biologie, sciences mathématiques et informatiques, automatique automatisme informatique industrielle, Electronique et informatique industrielle, science de la terre et de l'univers parcours géosciences, Génie des M&tériaux, management et stratégie des organisations, Sciences Economiques (Gestion d'Entreprises), Business Management - FSJES Marrakech., Assurances, Sciences et Techniques, Réseaux,Sécurité et Systèmes informatiques, sciences économiques et gestion Parcours Finance et Banque, Télécommunication et Réseaux, Tourism Promotion Operations, French studies, Sciences physiques,option Énergétique, Systèmes informatiques répartis, Enseignement professionnel du français, science de la matiere physique chimie, finance and banking, Biologie - Chimie - Geoligie, Enérgétique, Electrical engineer : Embedded systems and digital control, droit des affaires, Etudes medicales, international management, ECONOMIE ET GESTION, General English Studies, Tourisme, patrimoine et développement durable, Economics, Lightweight aggregates based phosphate sludge, Geology Applied to Mining Ressources, Efficacité Energétique et Energies Renouvelables, Sciences mathématiques et informatique, Technologies / techniciens du génie civil, Electrical, Electronics and Communications & Control Systems Engineering, Sciences économiques et de gestion: Gestion des entreprises, Sciences economiques et gestion, Techniques d'assurance, finance et banques, Droit Français, Technologies et Programmation Web, Entrepreneuriat et stratégie des PME, Sciences des matériaux, Traitement des eaux usées, Ingénierie de tourisme, Physics, La littérature française, promoteur du patrimoine à valeur touristque, Biology/Biological Sciences, General, Physico-chimie des Matériaux, techniques des assurances, Marketing, Technologie du génie environnemental / technologie de l'environnement, Applied Linguistics, Audit & Management Control, Human rights and Civil liberties, Affaires / gestion, général, exploration et valorisation des ressources minérales, chimie organique et bioorganique, Psychologie, Économie et Gestion, Linguistics, Communication and Advanced English Studies, Business Administration, English Language and Literature, General, SMPC, sciences économiques et gestion, biologie végétale, biotechnologie, Croissance et protection des Plantes, Bio procédés microbiologiques, Littérature anglaise (britanique et du Commonwealth), Économie politique, Droit international et études juridiques internationales, Immunologie, Maths Informatique Physiques Chimies, Economie d'entreprise, Economie et gestion, Physique et énergétique, Education specialisee, English Language, Siences de la matière physique, general medicine, Management à L’international, Network administration and security, Entrepreneuriat / études entrepreneuriales, Environment –Explorations and Exploitations of Ressources in Water, Technologie éducative / pédagogique, Biotechnologie appliqueé à l'amélioration des plantes, Langues, littératures et linguistique Anglaise, Tourism engineering"
Université Cadi Ayyad Marrakech ( UCAM ),Informatique
Université Cadi Ayyad Marrakech (FSJES),"Marketing et communication / Qualité, Marketing et Management de la Qualité, management à l'international, Management à l'international"
Université Cadi Ayyad Marrakech (FST),Génie Electrique
Université Cadi Ayyad Marrakech - FST,Informatique
Université Cadi Ayyad Marrakech - Faculté des sciences SEMLALIA,Mathématique Informatique et applications
Université Cadi Ayyad Marrakech FSSM,Mathématiques appliquées
Université Cadi Ayyad Marrakech FST GUELIZ,Electrical engineering
Université Cadi Ayyad Marrakech Faculté Polydisciplinaire - Safi,Sciences Mathématiques et  Physiques
Université Cadi Ayyad Marrakech Semlalia,eau et environnement
Université Cadi Ayyad Marrakech- FST,Phd Student
Université Cadi Ayyad Marrakech-FSSM,Informatique
Université Cadi Ayyad Semlalia,Génie Logistique
"Université Cadi Ayyad, Marrakech",Ingénierie de l’Assainissement et Management de l'environnement
Université Cadi-Ayyad Marrakech et IGA Marrakech,Finance islamique
Université Cady Ayyad Marrakech,"Droit des Affaires et Fiscalité, Droit privé"
Université Cantabria -Espagne-,Banco y Mercados financieros
Université Catholique de Lille,Option : Finance des Entreprise.(France)
Université Cheikh Anta Diop,"Human Resources Management/Personnel Administration, General"
Université Chouaib  Doukkali El-Jadida,électronique
"Université Chouaib Doukali, Faculté des sciences El jadida",Science Mathématique et Informatique
Université Chouaib Doukkali,"Physique, Gestion des Entreprises, Banking, Corporate, Finance, and Securities Law"
"Université Chouaib Doukkali, El Jadida",Géomatique Appliquée
"Université Chouaib Doukkali,ElJadida.",Ingénierie géotechnique et géoenvironnementale
Université Chouaib Doukkali-Faculté des Sciences El Jadida,Biochimie et Pharmaco-Toxicologie
Université Chouaïb Doukkali El Jadida,"Énergie et Environnement / QHSE/PV, Langue anglaise et littérature / lettres, BANQUE ET FINANCE, Computer Technology/Computer Systems Technology, Géotechnique et génie géologique, Management des ressources humaines, Chimie et Applications, Logistique industrielle, Études françaises, agent de développement social, Qualité du Logiciel, Chimie, management de la qualité, Qualité du logiciel, Les Réseaux et les Télécommunications, administrateur des systèmes & logiciels, Gestion des Ressources Naturelles et Développement Durable, Génétique moléculaire, Eco-toxicologie, Administration des Systémes d'information, Chimie analytique, Chimie Analytique et Démarche Qualité, Microbilogie, gestion des entreprises, RADAR anticollision de voitures /conception des  antennes.../Electronique  Rapide, Language Interpretation and Translation, Informatique, Technologies / techniciens en instrumentation et maintenance électromécanique, Contrôle non destructif par thermographie infrarouge, physique de la Matière et de Rayonnement, Software Quality, Ingénierie des Systèmes d'information, Ingénieure Mathématique, Banques et finances, Matériaux et Rayonnement, Energie et Environnement, Modélisation et Spectroscopie Moléculaires, Biotechnologie Agroalimentaire, Économie, Gestion financière et comptable, Administration de / administrateur réseaux et systèmes, Computer Science - Deep Learning, Banque et Finance, Gestion des ressources humaines  / administration du personnel, général, Applied Mathematics, Biotechnologie appliquée à la production végétale et à l'industrie agroalimentaire, Ingénierie des ressources humaines et développement social, Ingénierie des Ressources Humaines et développement social, génétique des populations, Electromechanical Technology/Electromechanical Engineering Technology, informatique, Biologie, général, Earth Sciences, Industrie Agro-alimentaire, Économie de gestion, Ingénierie Financière et Finance Islamique, Banque et Assurances, Geotechnics and Geological Engineering, Géomatique Appliquée, Ingénierie des ressources humaines, Sciences de la Matière Phisique, English Language and Culture, CAF, licence fondamental en chimie, Business/Managerial Economics, Physique de la Matière et rayonnement, Langue et littérature françaises, études anglaise, Applied geomatics, sciences  dr la vie et de la terre, Sc Mathématique & Informatique, Sciences de la nutrition, English Language and Literature/Letters, Human Resources Management/Personnel Administration, General, Management des Ressources Humaines, English Language and Literature, General, Gestion des ressources humaines, Eau et Sol, Mise en réseau des systèmes electrique de basse tension , informatiques et télécommunications., Mathematics, Sciences physiques, Web/Multimedia Management and Webmaster, Gestion Des Entreprises, PMR(Physique de la Matiére et Rayonnement) /optoelectronique, Applied Linguistics, Life and Earth Sciences, sciences de vie, Management de l'activité commerciale, Mathématiques et informatique, Mechanical and civil engineering, management ressources humaines, Sciences Mathématiques  Appliquées, Agriculture, Agriculture Operations, and Related Sciences, Génie civil option : Matériaux de construction, histoire, matériaux de construction, Sciences mathématiques et informatiques option: Développement et Bases de Données, physique chemie, English Literature (British and Commonwealth), Management Hôtelier et Touristique, Sytémes d'information géospatiale, Physique, Chimie organique, Mathématiques appliquées, Sciences de la terre et de l'univers, Réseaux et Système, Finance et gestion financière, Management de la Qualité, sociologie des phénomènes urbains, Management des Ressources humaines, SMPC, Gestion des Entreprises, Le management des ressources humaines, Représentations Interculturelles : Cinéma et Arts, génie de l'environnement et santé, Zoologie / biologie animale, Geologie de surface et de subsurafce, Sciences géologiques et de la Terre et l'univers / géosciences (parcours hydrogéologie-pédologie), chimie méniral, Management de la qualité, Mathématiques pure, Zone géographique, électronique, Gestion des entreprises, Finance, Science environnementale, Management des activités commerciales, Mise en œuvre et Administration des Systèmes & Réseaux Informatique, Economie et Gestion, Ingénierie Logistique, Chimie des matériaux et applications, Science  de la Matière Physique, Science de la Terre et l'Univers, Biologie cellulaire et moléculaire, La geoscience Marine et environnement, Electronique automatique, sciences de la vie, Administration systèmes et logiciels, Physique théorique et mathématique, Géomatique, Gestion logistique, des matériaux et de la chaîne d'approvisionnement, Techniques de vente et Fidélisation des clientéle, Physique (Rayonnements - Matière), communication et médias, electronic engineering and automation, Sciences des Matières Physique Chimie, SMPC"
"Université Chouaïb Doukkali, Faculté des Sciences, EL Jadida, Maroc",Eau & Sol
Université Chouaïb Doukkali-El Jadida en codirection avec l'Université de Poitiers-France,Ingénierie informatique
Université Clermont Auvergne,"Comptabilté Contrôle Audit, Audit, Comptabilité et finance"
Université Créative,Management de l'innovation
Université De Clermont ferrand,Comptabilité controle audit
Université Denis Diderot (Paris VII),Internat en urologie
Université Franche-Comté (France) -Université Ibn Tofail (Maroc),Mathématiques Appliquées-Informatique-Télécommunication
Université François Rabelais de Tours,"Banking and Financial Markets, Bank and finance, banque et finance"
Université Grenoble Alpes,"Comptabilité, Contrôle et Audit (CCA), Diagnostic Economique des Organisations et Pilotage de la Performance, génie civil et infrastructures, Marketing et communication, Économie de gestion"
Université Hassan,droit des Affaires
Université Hassan 1er,"Génie electrique, Mechanical Engineering & Energy, Big Data, Ingénierie systèmes, réseaux et sécurité, Gestion de risques en assurance, Ingénierie de Conception et de Développement d'Applications, Procédés et Ingénierie Chimique, Audit et Contrôle de Gestion, informatique / Gestion, Computer Sciences, Génie civil, IT Industrial Management, Gestion de Projets et Management Opérationnel, Business intelligence -, Audit et Côntrole de Gestion, Droit en français, Ingénierie informatique, Information Technology, Computer Science, Ingénierie électromécanique, Ingénierie & Management Idustriel, systèmes réseau et sécurité, Gestion et Management des Affaires et Projets, Business Intelligence, Management Finance, ingénierie QSE, Ingénierie de Conception et de Développement d'Applications., Gestion des Ressources Humaines, Informatique, développement durable et HSE, Technologie des procédés chimiques, Génie Informatique, Biochimie et biologie moléculaire, Gestion logistique, des matériaux et de la chaîne d'approvisionnement, Research Doctorate, Computer Systems Networking and Security Engineering, Facutlé des sciences et Techniques de Settat - Mécanique Energétique et Ingénierie, Administration de / administrateur réseaux et systèmes, management des systèmes d'information, Audit & Contrôle de gestion, Ingenierie Système Réseau & Sécurité, Financial Management, droit prive section française, Management, Audit social et juridique, Ingénierie et Management Industriel, Méthodes Informatiques Appliquées à la Gestion des Entreprises, Systems, Networks and Security Engineering, Marketing et action commercial, ingénierie des systèmes et réseaux informatiques, Management des Systèmes d'information, Systèmes d’information, Commerce international, Génie industriel, Management des systèmes d’information, Systèmes d'Information : Management de Projets, Économie de gestion, Achat, logistique supply chain management, Génie Biomédical Instrumentation et Maintenance, IT Methods applied to Business Management, Ingénierie Systèmes, Réseaux et Sécurité Informatique, SI – MP, Sécurité / sûreté de l''information des systèmes informatiques, management finance d ' entreprise, Audit et Controle de Gestion, Marketing, Systèmes, Réseaux et Sécurité, Ingénierie des Projets Industriels et Management Operationnel, Méthodes informatiques appliquées à la gestion d'entrerpises, Qualité Sécurité Environnement, Méthodes informatiques appliquées à la gestion des entreprises 'MIAGE'​, MIAGE, Ingénierie de la Qualité, Ingénierie de la décision (sciences économiques/informatiques décisionnelle ), Management Finance d'entreprise, Master Universitaire (ICDA) , Information Technology, Méthodes informatiques appliquées à la gestion des entreprises, Ingénierie et management industriel, Réseaux et télécommunications, Ingénierie des systèmes, Finance, général, informatique, management, Management des systèmes d'informations, Management et Finance, Ingénierie / gestion industrielle, HSE, automatisme industriel, Management des systèmes d'information, Droit Privé, Policies and Management of Sovereign Debt in Morocco, Logistique et commerce international, Systèmes d'information : Business Inteligence, Reseaux et Telecommunication, Marketing et actions commerciales, Management finance d'entreprise, Industrial Engineering, master management de la qualité,la sécurité et de l'environnement, Conception et développement d'application, Génie électrique, Qualités en toutes domaine, Management de système d'information, ingénierie conception d'application, Économie, Automation industriel, genie civil, Méthodes informatiques appliquées à la gestion des entreprises - Systèmes d'information -, Systèmes d'​'information et management de projets, Génie Civil et Construction, Automation industrielle, Intermédia / multimédia, méthodes informatiques appliquées à la gestion des entreprises, Ressources Humaines, Méthodes Informatiques Appliquées à la Gestion des Entreprises MIAGE, IT AND ACTUARIAL GOVERNANCE, Génie logiciel, Management de projet, ingénierie réseaux, systèmes et sécurité informatique, Technologies de l'​'information, ingénieur des systèmes, réseaux et sécurité, Technologies / techniciens du génie électrique, gestion des entreprises, ERP, Gestion et administration du personnel, Comptabilité et commerce / gestion, Management Information Systems, General, Management des systemes d'information, Business/Managerial Economics, Génie Logistique et Transport, Accounting and Finance, Ingénierie des Systèmes, Réseaux et Sécurité Informatiques, Génie logiciel - Management des systèmes d'information, Management Finance Des Entreprises, Master de recherche en Management & Finance d'entreprise, Management et finance, Réseaux et Systèmes Informatique, Logistique et Commerce Internationnal, Audit et contrôle de gestion, Ingénierie logicielle, Management de projets en Technologies de l'Information, sécurité des réseaux et systémes informatiques, ingenierie systemes reseaux et securité, En Management des systémes d'information, Ingénierie de Conception et de Développement d’Application, Gestion des ressources humaines  / administration du personnel, général, Ingénierie électrique et électronique, Systèmes d'Information, Business Intelligence, Electrical, Electronics and Communications Engineering, génie mecanique et productique, Markering et Action Commerciale, Mathématiques de finance, génie climatique et énergétique., Qualité Logiciel, Génie Thermique et Énergie, Mechanical Engineering, IT methods applied to the management of enterprises, Ingénierie Electrique, management logistique et qualité des opérations, Ingénierie mécatronique, robotique et automatisation, Gestion financiére et fiscale, Achat Logistique et Supply Chain Management, Modélisation / stockage des données et administration de bases de données, ingénierie Sécurité & Réseau et Système, Communications graphiques, génie mécanique et productique;, Sciences de gestion, Comptabilité et finance, genie électrique/option:automatisme et management industriel, Mechanical Engineering and Production, Programmation / développeur informatique, général, Sciences économiques option Ingénierie de la décision, Ingénierie de la décision, Droit privée (section française), automatique,traitement du signal et informatique industrielle, Mathematics and Computer Science, système réseau et sécurité, Qualité et Développement, Économétrie et économie quantitative, Commerce International et logistique, Droit des affaires, Facutlé des sciences et Techniques de Settat - informatique et gestion industrielle, optimisation et planification des réseaux de distribution électriques, économie, Gestion des ressources humaines  / administration du personnel,, ingénierie Systèmes, Réseaux et Sécurité, Sciences économoques et gestion, ingenierie de conception et développement d'applications, Gestion des ressources humaines, Electronique-électrotechnique- Automatique, métier de chef comptable, Electrical/Electronics Maintenance, Ingénierie Systèmes, Réseaux et Sécurité, Techniques d'Analyse et Contrôle Qualité, sciences économiques, Banque et Assurances, Génie mécanique, Génie Electrique, Automatique et Informatique Industrielle, Sciences Economiques et gestion, Metier de chef comptable, Techniques de  banque et assurance, Informatique et gestion industrielle, Technologie / technicien du contrôle qualité, Management-Finance d'entreprise, Marketing et Communication, Local Governance, Management industriel, Développement informatique, génie informatique, Management stratégique des ressources humaines, ISO 14001, ISO 9001 et OHSAS 18001, Economie et gestion, Mobile Applications Engineering (IAM)., Génie industriel, Option : logistique, Marketing et communication, développement java et administration base de données, Economie et sciences de gestion, Entreprise Ressources Planning, Droit, Ingénierie, Economie et Gestion, ingénierie réseaux et systèmes informatique, Sciences de la gestion, Web  Development, science économique et de gestion, Management Et Finance Des Entreprises, Systemes, reseau et securité, Métiers de Chef Comptable, management du systeme d'information, Genie Informatique, Visual Communication, Droit privé, système d'information & ingénieurie décisionnelle, Sciences Economiques et Gestion, Mathématiques,Informatiques et Physiques, Administration du personnel, Mobile Application Engineering, Management et Finance des Entreprises, Comptabilité, Economics and Management, automation industrielle, Business, Management, Marketing, and Related Support Services, génie civil et génie mécanique option Bureau d’Etudes et conception des matériaux, Management et Finance d'Enrreprises, SI-Business Intelligence, Mechanical engineering, Computer Networks and Security, Administration de bases de données et technlogies web, Électronique automatique et télécommunications, ingénierie de conception d'application, management et finance d'entreprise, Sciences Economiques ( Économetrie ), Techniques de banque et d'assurance, Économie et gestion, sciences économiques et gestion, management de la logistique et de la qualité, Gestion des entreprises, Electrical Engineering"
Université Hassan 1er (FST),Ingénierie et Management Industriel
"Université Hassan 1er ,Faculté des Sciences et Techniques Settat",Management de projet
Université Hassan 1er - ENCG Settat,Marketing
Université Hassan 1er - F S T Settat,"Ingénierie et Management Industriel, Ingénierie / gestion industrielle"
Université Hassan 1er - FST Settat,"Ingénierie des systèmes, Informatique"
Université Hassan 1er - Faculté de Sciences et Techniques – Settat,méthode informatique appliquée à la gestion des entreprises
Université Hassan 1er - Faculté des Sciences et Techniques,"Management des projets informatiques, Technologie WEB, Mathématiques appliquées, Outils mathématiques de modélisation..."
Université Hassan 1er - Faculté des Sciences et Techniques Settat,Génie électrique
Université Hassan 1er - Faculté des Sciences et Techniques de Settat,"Génie Informatique, Gestion de production et informatique"
Université Hassan 1er -FST Settat,"Achat,logistique &Supply chain management"
Université Hassan 1er / FST de Settat,calcul de structure; calcul dynamique et sismique RPS 2000
Université Hassan 1er FACULTÉ DES SCIENCES ET TECHNIQUES DE SETTAT,INGÉNIERIE & MANAGEMENT INDUSTRIEL
Université Hassan 1er FST SETTAT,"Ingénierie & Management Industriel, Mécatronique, Mathématique Informatique Physique"
Université Hassan 1er FST Settat,Electrical engineering
Université Hassan 1er FST-Settat,Master Universitaire en Ingénierie de Conception et Développement d'Applications
Université Hassan 1er FST/Settat,Electricité
Université Hassan 1er Faculté des Sciences et Techniques,ADMINISTRATION DE BASES DE DONNÉES ET TECHNOLOGIE WEB
Université Hassan 1er Faculté des Sciences et Techniques de Settat,"Ressources Minérales et Carrières, génie mécanique"
Université Hassan 1er Faculté pluridisciplinaire Khouribga,Economie et Gestion d'entreprises
Université Hassan 1er Settat,"Ingénierie des systèmes, Développement JAVA et J2EE, Genie informatique"
Université Hassan 1er _ Faculté des Sciences et de Techniques Settat,"Engineering systems, networks and security, IT and Industrial Management"
Université Hassan 1er de settat,Logistique et Commerce International
Université Hassan 1er fst,"ingenierie et management industriel, Ingénierie / gestion industrielle"
"Université Hassan 1er, Ecole nationale des sciences appliquées",Gestion des Ressouces Humaines
Université Hassan 1ere de Settat,Marketing et Action commerciale
Université Hassan 2 Casablanca,"Gestion des ressources humaines  / administration du personnel, général"
Université Hassan 2 Mohammedia,Electronics & instrumentation
Université Hassan 2 faculté des sciences Ain Chock,Sciences mathématiques appliquées
Université Hassan I,"Ingénierie statistiques, Management Finance, Sciences de gestion, Java / J2EE"
Université Hassan I - Faculté des sciences et techniques Settat,Management des Systèmes d'informations
Université Hassan I de Settat,Master Universitaire Professionnel Ingénierie de Conception et de Développement d’Applications.
